"label","last_mesure","sang_ok"
"10175456","07/05/2025","non"
"10175457","07/05/2025","non"
"10175458","07/05/2025","non"
"10175459","07/05/2025","non"
"10175460","07/05/2025","non"
"10175461","07/05/2025","non"
"10175462","07/05/2025","non"
"10175463","07/05/2025","non"
"10175464","07/05/2025","non"
"10175465","07/05/2025","non"
"10175466","07/05/2025","non"
"10175467","07/05/2025","non"
"10175468","07/05/2025","non"
"10175469","07/05/2025","non"
"10175470","07/05/2025","non"
"10175471","07/05/2025","non"
"10175472","07/05/2025","non"
"10175473","07/05/2025","non"
"10175474","07/05/2025","non"
"10175475","07/05/2025","non"
"10175476","07/05/2025","non"
"10175477","07/05/2025","oui"
"10175478","07/05/2025","oui"
"10175479","07/05/2025","non"
"10175480","07/05/2025","non"
"10175481","07/05/2025","non"
"10175482","07/05/2025","non"
"10175483","07/05/2025","non"
"10175484","07/05/2025","non"
"10175485","07/05/2025","non"
"10175486","07/05/2025","non"
"10175487","07/05/2025","non"
"10175488","07/05/2025","non"
"10175489","09/05/2025","oui"
"10175490","09/05/2025","oui"
"10175491","09/05/2025","oui"
"10175492","09/05/2025","oui"
"10175493","09/05/2025","oui"
"10175501","02/05/2025","non"
"10175502","02/05/2025","non"
"10175503","02/05/2025","non"
"10175504","02/05/2025","non"
"10175505","02/05/2025","non"
"10175506","02/05/2025","non"
"10175507","03/05/2025","non"
"10175508","03/05/2025","non"
"10175509","03/05/2025","non"
"10175510","03/05/2025","non"
"10175511","03/05/2025","non"
"10175512","03/05/2025","non"
"10175513","03/05/2025","non"
"10175514","03/05/2025","non"
"10175515","03/05/2025","non"
"10175516","03/05/2025","non"
"10175517","03/05/2025","non"
"10175518","03/05/2025","non"
"10175519","03/05/2025","non"
"10175520","13/05/2025","non"
"10175521","03/05/2025","non"
"10175522","03/05/2025","non"
"10175523","03/05/2025","non"
"10175524","03/05/2025","non"
"10175525","03/05/2025","non"
"10175526","05/05/2025","non"
"10175527","05/05/2025","non"
"10175528","05/05/2025","non"
"10175529","05/05/2025","non"
"10175530","05/05/2025","non"
"10175531","05/05/2025","non"
"10175532","05/05/2025","non"
"10175533","05/05/2025","non"
"10175534","05/05/2025","non"
